57773   27.87  112.82   湘潭市                                  湘潭市                 湖南省      湖南省       
57872   26.90  112.60   衡阳市                                  衡阳市                 湖南省      湖南省       
57766   27.23  111.47   邵阳市                                  邵阳市                 湖南省      湖南省       
57584   29.38  113.08   岳阳市                                  岳阳市                 湖南省      湖南省       
57662   29.05  111.68   常德市                                  常德市                 湖南省      湖南省       
57558   29.13  110.47   张家界市                                张家界市               湖南省      湖南省       
57972   25.80  113.03   郴州市                                  郴州市                 湖南省      湖南省       
57866   26.23  111.62   永州市                                  永州市                 湖南省      湖南省       
57749   27.57  110.00   怀化市                                  怀化市                 湖南省      湖南省       
57763   27.73  112.00   娄底市                                  娄底市                 湖南省      湖南省       
57649   28.32  109.73   吉首市                                  湘西土家族苗族自治州   湖南省      湖南省       
59287   23.17  113.33   广州市                                  广州市                 广东省      广东省       
59082   24.68  113.60   韶关市                                  韶关市                 广东省      广东省       
59493   22.53  114.00   深圳市                                  深圳市                 广东省      广东省       
59488   22.28  113.58   珠海市                                  珠海市                 广东省      广东省       
59316   23.40  116.68   汕头市                                  汕头市                 广东省      广东省       
59658   21.15  110.30   湛江市                                  湛江市                 广东省      广东省       
59659   21.75  110.92   茂名市                                  茂名市                 广东省      广东省       
59501   22.80  115.37   汕尾市                                  汕尾市                 广东省      广东省       
59663   21.83  111.97   阳江市                                  阳江市                 广东省      广东省       
59280   23.67  113.05   清远市                                  清远市                 广东省      广东省       
59312   23.67  116.63   潮州市                                  潮州市                 广东省      广东省       
59471   22.93  112.05   云浮市                                  云浮市                 广东省      广东省       
59431   22.63  108.22   南宁市                                  南宁市                 广西        广西         
59046   24.35  109.40   柳州市                                  柳州市                 广西        广西         
57957   25.32  110.30   桂林市                                  桂林市                 广西        广西         
59265   23.48  111.30   梧州市                                  梧州市                 广西        广西         
59644   21.45  109.13   北海市                                  北海市                 广西        广西         
59635   21.62  108.35   防城港市                                防城港市               广西        广西         
59632   21.95  108.62   钦州市                                  钦州市                 广西        广西         
59249   23.12  109.62   贵港市                                  贵港市                 广西        广西         
59453   22.65  110.17   玉林市                                  玉林市                 广西        广西         
59211   23.90  106.60   百色市                                  百色市                 广西        广西         
59023   24.70  108.03   河池市                                  河池市                 广西        广西         
59242   23.75  109.23   来宾市                                  来宾市                 广西        广西         
59425   22.40  107.35   崇左市                                  崇左市                 广西        广西         
59758   20.00  110.25   海口市                                  海口市                 海南省      海南省       
59948   18.23  109.52   三亚市                                  三亚市                 海南省      海南省       
57517   29.28  106.25   江津市                                  市                     重庆市      重庆市       
57512   29.97  106.28   合川市                                  市                     重庆市      重庆市       
57506   29.37  105.90   永川市                                  市                     重庆市      重庆市       
57519   29.15  107.08   南川市                                  市                     重庆市      重庆市       
56294   30.67  104.02   成都市                                  成都市                 四川省      四川省       
56666   26.58  101.72   攀枝花市                                攀枝花市               四川省      四川省       
57602   28.88  105.43   泸州市                                  泸州市                 四川省      四川省       
56198   31.15  104.38   德阳市                                  德阳市                 四川省      四川省       
56196   31.45  104.73   绵阳市                                  绵阳市                 四川省      四川省       
57206   32.43  105.85   广元市                                  广元市                 四川省      四川省       
57405   30.50  105.55   遂宁市                                  遂宁市                 四川省      四川省       
57504   29.58  105.05   内江市                                  内江市                 四川省      四川省       
56386   29.57  103.75   乐山市                                  乐山市                 四川省      四川省       
56391   30.08  103.82   眉山市                                  眉山市                 四川省      四川省       
56492   28.80  104.60   宜宾市                                  宜宾市                 四川省      四川省       
57415   30.47  106.63   广安市                                  广安市                 四川省      四川省       
56287   29.98  103.00   雅安市                                  雅安市                 四川省      四川省       
57313   31.87  106.77   巴中市                                  巴中市                 四川省      四川省       
56298   30.13  104.60   资阳市                                  资阳市                 四川省      四川省       
57816   26.58  106.73   贵阳市                                  贵阳市                 贵州省      贵州省       
57713   27.70  106.88   遵义市                                  遵义市                 贵州省      贵州省       
57806   26.25  105.90   安顺市                                  安顺市                 贵州省      贵州省       
57741   27.72  109.18   铜仁市                                  铜仁地区               贵州省      贵州省       
57907   25.08  104.90   兴义市                                  黔西南布依族苗族自治州  贵州省      贵州省      0
57707   27.30  105.28   毕节市                                  毕节地区               贵州省      贵州省       
57825   26.60  107.98   凯里市                                  黔东南苗族侗族自治州   贵州省      贵州省       
57827   26.32  107.53   都匀市                                  黔南布依族苗族自治州   贵州省      贵州省       
56778   25.00  102.65   昆明市                                  昆明市                 云南省      云南省       
56783   25.50  103.80   曲靖市                                  曲靖市                 云南省      云南省       
56651   26.85  100.22   丽江市                                  丽江市                 云南省      云南省       
56964   22.78  100.97   思茅市                                  思茅市                 云南省      云南省       
56951   23.88  100.08   临沧市                                  临沧市                 云南省      云南省       
56768   25.03  101.55   楚雄市                                  楚雄彝族自治州         云南省      云南省       
56984   23.38  103.15   个旧市                                  红河哈尼族彝族自治州   云南省      云南省       
